Refs.	Symbol 	Company Name
    3	RYAAY  	Ryanair Holdings PLC ADR
    2	TREVQ  	Trevali Mining Corp
    2	FNHCQ  	Fednat Holding Co
    2	ALNAQ  	Allena Pharma
    2	CYRNQ  	Cyren
    2	MSLPQ  	Musclepharm Corp
    2	HYREQ  	HyreCar
    2	TGHI   	Touchpoint Group Holdings Inc
    2	GAHC   	Global Arena
    2	ABMC   	Amer Bio Medica
    2	AFHIF  	Atlas Financials
    2	RSPI   	RespireRx Pharma
    2	PEARQ  	Pear Therapeutics
    2	ANDR   	Andrea Electronic Cp
    2	USRM   	US Stem Cell
    2	PTE    	Polarityte
    2	FWBI   	First Wave BioPharma
    2	CBNT   	C-Bond Systems
    2	INLB   	Item 9 Labs
    2	MACE   	Mace Security Intl
    2	PRTYQ  	Party City Holdco Inc
    2	MICR   	Micron Solutions
    3	KBNT   	Kubient
    2	ONCR   	Oncorus
    3	XCUR   	Exicure
    2	CSTI   	Costar Tech Inc
    2	SBNY   	Signature Bank
    2	QTEK   	QualTek Services
    2	MRCR   	Moro
    2	CCUR   	CCUR Holdings
    2	SRAX   	SRAX
    2	ATTO   	Atento SA
    2	OCLN   	OriginClear
    2	CLRD   	Clearday
    3	TBLT   	Toughbuilt Industries
    2	LMPX   	Lmp Auto
    2	SIF    	SIFCO
    2	ID     	PARTS iD
    3	LTRY   	Lottery.com
    2	IHT    	InnSuites Hospitality
    2	DYSL   	Dynasil of America
    3	TKAT   	Takung Art
    2	ORBT   	Orbit
    3	RVYL   	Ryvyl
    3	HTCR   	HeartCore Enterprises
    2	AMPG   	Amplitech
    2	DERM   	Journey Medical
    2	ICCT   	Icoreconnect
    2	FBPI   	First Bancorp Indiana
    2	SOWG   	Black Ridge Oil Gas
    2	DTSS   	Datasea
    3	LGIQ   	Logiq
    2	PLUR   	Pluri Inc
    2	TUP    	Tupperware Brands
    4	BMTX   	Bm Technologies
    2	IDEX   	Ideanomics
    3	EVTV   	Envirotech Vehicles
    3	UAMY   	United States Antimony
    2	NM     	Navios Maritime Holdings
    2	MGTA   	Magenta Therapeutics
    2	IMUC   	ImmunoCellular
    3	GROW   	US Global
    2	AAME   	Atlantic American
    2	LVTX   	LAVA Therapeutics NV
